"ref_area.label","source.label","indicator.label","time","obs_value","note_indicator.label","note_source.label"
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2002",24.702,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2001",26.197,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","Trade union density rate (%)","2000",26.477,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2019",26.243,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2018",26.298,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2017",26.645,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2016",26.897,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2015",27.352,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2014",27.716,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2013",27.755,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2012",27.963,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2011",28.308,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2010",28.862,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2009",29.32,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2008",29.593,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2007",30.394,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2006",31.542,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2005",33.774,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2004",35.531,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2003",35.087,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2002",36.559,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2001",36.636,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","OS - Trade unions records","Trade union density rate (%)","2000",37.35,"Trade union membership coverage: Adjusted for the right to unionize",
"Burundi","HIES - Living Standards Survey","Trade union density rate (%)","2014",5.611,,
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2019",49.082,,
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2018",49.962,,
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2017",50.717,,
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2016",51.576,,
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2015",52.269,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2014",52.718,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2013",53.033,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2012",53.751,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2011",54.04,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2010",52.702,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2009",53.814,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2008",53.38,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2007",53.553,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2006",53.734,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2005",54.909,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2004",55.056,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2003",55.761,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2002",57.124,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2001",57.838,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","OS - Estimations based on Records from the three main union confederations","Trade union density rate (%)","2000",56.409,"Trade union membership coverage: Adjusted for the right to unionize",
"Burkina Faso","LFS - Regional Integrated Survey on Employment and the Informal Sector","Trade union density rate (%)","2018",9.814,,
"Burkina Faso","LFS - Regional Integrated Survey on Employment and the Informal Sector","Trade union density rate (%)","2014",7.8,,
"Bangladesh","ADM - Administrative Records","Trade union density rate (%)","2018",11.897,,
"Bangladesh","ADM - Administrative Records","Trade union density rate (%)","2012",10.065,,
"Bangladesh","ADM - Administrative Records","Trade union density rate (%)","2010",11.292,,
"Bangladesh","ADM - Administrative Records","Trade union density rate (%)","2008",12.573,,
"Bangladesh","ADM - Administrative Records","Trade union density rate (%)","2006",14.134,,
"Bangladesh","ADM - Administrative Records","Trade union density rate (%)","2000",26.335,,
"Bulgaria","ADM - Administrative Records","Trade union density rate (%)","2016",13.7,"Trade union membership coverage: Refers only to the two main union confederations",
"Bulgaria","ADM - Administrative Records","Trade union density rate (%)","2015",13.6,"Trade union membership coverage: Refers only to the two main union confederations",
"Bulgaria","ADM - Administrative Records","Trade union density rate (%)","2014",13.9,"Trade union membership coverage: Refers only to the two main union confederations",
"Bulgaria","ADM - Administrative Records","Trade union density rate (%)","2013",14,"Trade union membership coverage: Refers only to the two main union confederations",
"Bulgaria","ADM - Administrative Records","Trade union density rate (%)","2012",11.4,"Trade union membership coverage: Refers only to the two main union confederations",
"Bulgaria","ADM - Administrative Records","Trade union density rate (%)","2011",13.9,"Trade union membership coverage: Refers only to the two main union confederations",
"Bosnia and Herzegovina","OS - Estimations based on Administrative data","Trade union density rate (%)","2012",30,,
"Belize","ADM - Trade unions records","Trade union density rate (%)","2019",7.435,,
"Belize","ADM - Trade unions records","Trade union density rate (%)","2012",9.091,,
"Belize","ADM - Trade unions records","Trade union density rate (%)","2011",9.524,,
"Belize","ADM - Trade unions records","Trade union density rate (%)","2000",5.831,,
"Bermuda","ADM-RWO - Records of Workers' Organizations","Trade union density rate (%)","2018",21.896,,
"Bermuda","ADM-RWO - Records of Workers' Organizations","Trade union density rate (%)","2012",24.662,,
"Bermuda","ADM-RWO - Records of Workers' Organizations","Trade union density rate (%)","2011",23.548,,
"Bermuda","ADM-RWO - Records of Workers' Organizations","Trade union density rate (%)","2010",23.292,,
"Bermuda","ADM-RWO - Records of Workers' Organizations","Trade union density rate (%)","2009",24.224,,
"Bermuda","ADM-RWO - Records of Workers' Organizations","Trade union density rate (%)","2008",23.016,,
"Bermuda","ADM-RWO - Records of Workers' Organizations","Trade union density rate (%)","2007",22.321,,
"Bermuda","ADM-RWO - Records of Workers' Organizations","Trade union density rate (%)","2006",21.755,,
"Bermuda","ADM-RWO - Records of Workers' Organizations","Trade union density rate (%)","2000",24.601,,
"Bolivia (Plurinational State of)","HIES - Household Survey","Trade union density rate (%)","2019",12.045,,
"Bolivia (Plurinational State of)","HIES - Household Survey","Trade union density rate (%)","2018",11.831,,
"Bolivia (Plurinational State of)","HIES - Household Survey","Trade union density rate (%)","2017",11.324,,
"Bolivia (Plurinational State of)","HIES - Household Survey","Trade union density rate (%)","2016",13.328,,
"Bolivia (Plurinational State of)","HIES - Household Survey","Trade union density rate (%)","2015",11.406,,
"Bolivia (Plurinational State of)","HIES - Household Survey","Trade union density rate (%)","2014",14.97,,
"Bolivia (Plurinational State of)","HIES - Household Survey","Trade union density rate (%)","2013",19.075,,
"Bolivia (Plurinational State of)","HIES - Household Survey","Trade union density rate (%)","2012",18.708,,
"Bolivia (Plurinational State of)","HIES - Household Survey","Trade union density rate (%)","2011",22.421,,
"Bolivia (Plurinational State of)","HIES - Household Survey","Trade union density rate (%)","2006",26.11,,
"Bolivia (Plurinational State of)","HIES - Household Survey","Trade union density rate (%)","2000",23.919,,
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2019",13.033,"Trade union membership coverage: Adjusted for the right to unionize",
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2018",14.584,"Trade union membership coverage: Adjusted for the right to unionize",
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2017",16.808,"Trade union membership coverage: Adjusted for the right to unionize",
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2016",16.897,"Trade union membership coverage: Adjusted for the right to unionize",
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2015",17.924,"Trade union membership coverage: Adjusted for the right to unionize",
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2014",17.778,"Trade union membership coverage: Adjusted for the right to unionize",
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2013",17.838,"Trade union membership coverage: Adjusted for the right to unionize",
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2012",17.724,"Trade union membership coverage: Adjusted for the right to unionize",
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2011",18.479,"Trade union membership coverage: Adjusted for the right to unionize",
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2009",19.296,"Trade union membership coverage: Adjusted for the right to unionize","Age coverage - minimum age: 16 years old"
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2008",19.403,"Trade union membership coverage: Adjusted for the right to unionize","Age coverage - minimum age: 16 years old"
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2007",18.809,"Trade union membership coverage: Adjusted for the right to unionize","Age coverage - minimum age: 16 years old"
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2006",20.121,"Trade union membership coverage: Adjusted for the right to unionize","Age coverage - minimum age: 16 years old"
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2005",20.004,"Trade union membership coverage: Adjusted for the right to unionize","Age coverage - minimum age: 16 years old"
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2004",19.651,"Trade union membership coverage: Adjusted for the right to unionize","Age coverage - minimum age: 16 years old"
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2003",19.355,"Trade union membership coverage: Adjusted for the right to unionize","Age coverage - minimum age: 16 years old"
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2002",18.55,"Trade union membership coverage: Adjusted for the right to unionize","Age coverage - minimum age: 16 years old"
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2001",18.452,"Trade union membership coverage: Adjusted for the right to unionize","Age coverage - minimum age: 16 years old"
"Brazil","HS - National Household Sample Survey","Trade union density rate (%)","2000",20.073,"Trade union membership coverage: Adjusted for the right to unionize","Age coverage - minimum age: 16 years old"
"Botswana","OS - Estimations based on administrative data","Trade union density rate (%)","2020",29.963,"Trade union membership coverage: Adjusted for the right to unionize",
"Botswana","OS - Estimations based on administrative data","Trade union density rate (%)","2019",29.359,"Trade union membership coverage: Adjusted for the right to unionize",
"Botswana","OS - Estimations based on administrative data","Trade union density rate (%)","2018",29.106,"Trade union membership coverage: Adjusted for the right to unionize",
"Botswana","OS - Estimations based on administrative data","Trade union density rate (%)","2017",28.061,"Trade union membership coverage: Adjusted for the right to unionize",
"Botswana","OS - Estimations based on administrative data","Trade union density rate (%)","2016",29.003,"Trade union membership coverage: Adjusted for the right to unionize",
"Botswana","OS - Estimations based on administrative data","Trade union density rate (%)","2009",17.722,,
"Botswana","OS - Estimations based on administrative data","Trade union density rate (%)","2000",13.353,,
"Central African Republic","ADM - Labour Relations Records","Trade union density rate (%)","2008",21.933,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2020",29.387,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2019",28.288,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2018",28.091,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2017",28.436,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2016",28.394,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2015",28.587,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2014",28.409,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2013",29.191,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2012",29.284,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2011",28.982,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2010",29.339,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2009",29.386,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2008",29.091,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2007",29.344,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2006",29.391,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2005",29.776,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2004",29.76,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2003",30.092,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2002",30.054,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2001",30.161,,
"Canada","LFS - Labour Force Survey","Trade union density rate (%)","2000",30.096,,
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2018",14.427,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2017",14.864,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2016",15.255,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2015",15.656,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2014",16.078,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2013",16.573,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2012",16.53,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2011",17.033,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2010",17.581,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2009",17.712,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2008",17.94,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2007",18.86,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2006",19.268,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2005",19.76,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2004",19.904,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2003",20.377,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2002",20.348,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2001",20.18,"Trade union membership coverage: Adjusted for the right to unionize",
"Switzerland","ADM-RWO - Records of Affiliated and Independent Unions","Trade union density rate (%)","2000",20.652,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2018",17.094,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2017",17.381,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2016",16.915,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2015",15.402,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2014",14.664,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2013",14.185,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2012",14.381,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2011",13.881,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2010",14.013,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2009",13.673,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2008",12.854,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2007",11.493,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2006",11.245,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2005",11.115,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2004",11.503,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2003",11.687,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2002",11.126,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2001",10.904,"Trade union membership coverage: Adjusted for the right to unionize",
"Chile","ADM - Administrative registrations at the directorate of labour","Trade union density rate (%)","2000",11.182,"Trade union membership coverage: Adjusted for the right to unionize",
"China","ADM - Statistical Yearbook","Trade union density rate (%)","2017",44.249,"Trade union membership coverage: According to the national definition of trade union",
"China","ADM - Statistical Yearbook","Trade union density rate (%)","2016",44.562,"Trade union membership coverage: According to the national definition of trade union",
"China","ADM - Statistical Yearbook","Trade union density rate (%)","2015",43.861,"Trade union membership coverage: According to the national definition of trade union",
"China","ADM - Statistical Yearbook","Trade union density rate (%)","2014",43.216,"Trade union membership coverage: According to the national definition of trade union",
"China","ADM - Statistical Yearbook","Trade union density rate (%)","2013",42.558,"Trade union membership coverage: According to the national definition of trade union",
"China","ADM - Statistical Yearbook","Trade union density rate (%)","2012",41.162,"Trade union membership coverage: According to the national definition of trade union",
"China","ADM - Statistical Yearbook","Trade union density rate (%)","2011",37.802,"Trade union membership coverage: According to the national definition of trade union",
"China","ADM - Statistical Yearbook","Trade union density rate (%)","2010",34.728,"Trade union membership coverage: According to the national definition of trade union",
"China","ADM - Statistical Yearbook","Trade union density rate (%)","2009",32.689,"Trade union membership coverage: According to the national definition of trade union",
"China","ADM - Statistical Yearbook","Trade union density rate (%)","2008",30.402,"Trade union membership coverage: According to the national definition of trade union",
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Trade union density rate (%)","2017",10.624,,
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Trade union density rate (%)","2016",9.351,,
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Trade union density rate (%)","2013",7.648,,
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Trade union density rate (%)","2012",10.933,,
"Cameroon","ADM - Administrative records and related sources","Trade union density rate (%)","2014",5.018,,
"Cameroon","ADM - Administrative records and related sources","Trade union density rate (%)","2010",5.413,,
"Congo, Democratic Republic of the","LFS - Survey on Employment and household's living conditions","Trade union density rate (%)","2012",13.56,,
"Colombia","OE - Estimates based on various Administrative Records","Trade union density rate (%)","2019",4.653,,
"Colombia","OE - Estimates based on various Administrative Records","Trade union density rate (%)","2018",4.703,,
"Colombia","OE - Estimates based on various Administrative Records","Trade union density rate (%)","2017",4.773,,
"Colombia","OE - Estimates based on various Administrative Records","Trade union density rate (%)","2016",5.247,,
"Colombia","OE - Estimates based on various Administrative Records","Trade union density rate (%)","2015",5.409,,
"Colombia","OE - Estimates based on various Administrative Records","Trade union density rate (%)","2014",5.744,,
"Colombia","OE - Estimates based on various Administrative Records","Trade union density rate (%)","2013",6.524,,
"Colombia","OE - Estimates based on various Administrative Records","Trade union density rate (%)","2012",4.265,,
"Colombia","OE - Estimates based on various Administrative Records","Trade union density rate (%)","2011",3.672,,
"Colombia","OE - Estimates based on various Administrative Records","Trade union density rate (%)","2010",3.555,,
"Colombia","OE - Estimates based on various Administrative Records","Trade union density rate (%)","2009",3.378,,
"Colombia","OE - Estimates based on various Administrative Records","Trade union density rate (%)","2008",3.818,,
"Comoros","LFS - National Survey on Employment and the Informal Sector","Trade union density rate (%)","2014",13.352,,
"Cabo Verde","LFS - Continuous Multi-Objective Survey Employment and Labor Market Statistics","Trade union density rate (%)","2015",20.9,,
"Costa Rica","HS - National Household Survey","Trade union density rate (%)","2019",20.538,,
"Costa Rica","HS - National Household Survey","Trade union density rate (%)","2018",19.449,,
"Costa Rica","HS - National Household Survey","Trade union density rate (%)","2017",19.33,,
"Costa Rica","HS - National Household Survey","Trade union density rate (%)","2016",19.336,,
"Costa Rica","HS - National Household Survey","Trade union density rate (%)","2015",18.581,,
