"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Malaysia","ES - Salaries and Wages Survey","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2020",10.179,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time equivalents | Currency: MYS - Ringgit (MYR)","Employment definition: Excluding own-use production workers | Reference group coverage: Employees"
"Panama","LFS - Labour Market Survey","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2020",11.74,"Break in series",,"Currency: PAN - Balboa (PAB) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Data reference period: August"
"Peru","HS - National Household Survey","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2020",4.868,"Break in series",,"Currency: PER - Nuevo sol (PEN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Philippines","LFS - Labour Force Survey","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2020",4.862,,,"Currency: PHL - Philippine peso (PHP)","Repository: ILO-STATISTICS - Micro data processing"
"Portugal","LFS - Employment Survey","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2020",10.637,,,"Currency: PRT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"Paraguay","HS - Continuous Permanent Household Survey","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2020",0.029,,,"Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: PRY - Guarani (PYG)","Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Total national, excluding some areas"
"Romania","ES - Labour cost Survey","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2020",16.494,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ROU - Romanian leu (RON)","Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Reference group coverage: Employees"
"Slovakia","ES - Annual Structure of Earnings Survey","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2020",13.776,,,"Working time arrangement coverage: Full-time and part time workers | Currency: SVK - Euro (EUR)","Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Reference group coverage: Employees"
"Sweden","ES - Salary Structure Statistics","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2020",22.849,,,"Working time arrangement coverage: Full-time equivalents | Currency: SWE - Swedish krona (SEK)","Data reference period: September | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Thailand","LFS - Labour Force Survey","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2020",7.704,,,"Currency: THA - Baht (THB)","Repository: ILO-STATISTICS - Micro data processing"
"Türkiye","LFS - Household Labour Force Survey","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2020",8.679,,,"Currency: TUR - Turkish lira (TRY)","Repository: ILO-STATISTICS - Micro data processing"
"Tanzania, United Republic of","LFS - Labour Force Survey","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2020",3.248,"Break in series",,"Currency: TZA - Tanzanian shilling (TZS) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Ukraine","ES - Survey of enterprises on matters pertaining to labor statistics","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2020",0.058,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: UKR - Hryvnia (UAH)","Geographical coverage: Total national, excluding some areas | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
"United States of America","LFS - Current Population Survey","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2020",32.3,"Break in series",,"Currency: USA - United States dollar (USD) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Viet Nam","LFS - Labour Force Survey","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2020",5.139,,,"Currency: VNM - Dông (VND)","Repository: ILO-STATISTICS - Micro data processing"
"Zambia","LFS - Labour Force Survey","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2020",3.39,,,"Currency: ZMB - Zambian kwacha (ZMW)","Repository: ILO-STATISTICS - Micro data processing"
