X Variable,Y Variable,Correlation,P-Value
"Population ages 20-24, female (% of female population)",Voice and Accountability: Estimate,-0.43132167620797046,1.0723334973471808e-10
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Regulatory Quality: Estimate,-0.42503775433117663,2.122590910029718e-10
Individuals using the Internet (% of population),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",-0.4053098123930665,1.6560174401993584e-09
Current health expenditure per capita (current US$),GDP (current US$),0.39736747130277084,3.6490511905271672e-09
"Population ages 20-24, female (% of female population)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0.3705960634277064,4.508013483083022e-08
Current health expenditure per capita (current US$),"Taxes on income, profits and capital gains (% of total taxes)",0.37006550825384216,4.7276358497594025e-08
Current health expenditure per capita (current US$),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",-0.3675823988303608,5.8998195125238866e-08
"Taxes on income, profits and capital gains (% of total taxes)",GDP (current US$),0.3124573043192173,5.089356511373446e-06
"Taxes on income, profits and capital gains (% of total taxes)",Voice and Accountability: Estimate,0.2700714300258967,8.995119731926852e-05
"Taxes on income, profits and capital gains (% of total taxes)",Control of Corruption: Estimate,0.24062302372185165,0.0005102181068338829
"Taxes on income, profits and capital gains (% of total taxes)",Government Effectiveness: Estimate,0.22292048026495992,0.0013147384045036636
GDP (current US$),Government Effectiveness: Estimate,0.2220484625325163,0.001374983859095509
"Taxes on income, profits and capital gains (% of total taxes)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",-0.20640554244694923,0.0029853044875584466
"Taxes on income, profits and capital gains (% of total taxes)",Rule of Law: Estimate,0.20538619333495509,0.003134181253970804
GDP (current US$),Regulatory Quality: Estimate,0.19671287732409704,0.00469933601865434
"Taxes on income, profits and capital gains (% of total taxes)",Regulatory Quality: Estimate,0.1942035888151661,0.005267809157706475
"Population ages 20-24, female (% of female population)",GDP (current US$),-0.1834123478855879,0.008478991985141607
GDP (current US$),Rule of Law: Estimate,0.18039908991470774,0.009642314507004238
GDP (current US$),Control of Corruption: Estimate,0.16098737487797662,0.021113116406837794
Individuals using the Internet (% of population),GDP (current US$),0.15832010788223777,0.023374556598190144
GDP (current US$),Voice and Accountability: Estimate,0.08826629311016336,0.20820696273735007
Individuals using the Internet (% of population),"Taxes on income, profits and capital gains (% of total taxes)",0.07204010757303446,0.3046631991010891
GDP (current US$),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",-0.0636156849035749,0.3648370241151897
"Population ages 20-24, female (% of female population)","Taxes on income, profits and capital gains (% of total taxes)",0.009105917589796371,0.8968968572357467
